Time(s),Input(v),Output(v),Output(m),Output Derivative (m/s),Acceleration (m/s2),Sensor value,,
2.1,2.463,0,0,0,0,,,
2.2,2.463,0,0,0,0,,,
2.3,2.463,0,0,0,0,,,
2.4,2.473,0,0,0,0,,,
2.5,2.463,0,0,0,0,,,
2.6,2.463,0,0,0,0,,,
2.7,2.473,0,0,0,0,,,
2.8,2.463,0,0,0,0,,,
2.9,2.463,0,0,0,0,,,
3,2.463,0,0,0,0,,,
3.1,2.463,0,0,0,0,,,
3.2,2.463,0,0,0,0,,,
3.3,2.463,0,0,0,0,,,
3.4,2.463,0,0,0,0,,,
3.5,2.463,0,0,0,0,,,
3.6,2.463,0,0,0,0,,,
3.7,2.463,0,0,0,0,,,
3.8,2.463,0,0,0,0,,,
3.9,2.463,0,0,0,0,,,
4,2.463,0,0,0,0,,,
4.1,2.463,0,0,0,0,,,
4.2,2.454,0,0,0,0,,,
4.3,2.463,0,0,0,0,,,
4.4,2.463,0,0,0,0,,,
4.5,2.463,0,0,0,0,,,
4.6,2.463,0,0,0,0,,,
4.7,2.463,0,0,0,0,,,
4.8,2.463,0,0,0,0,,,
4.9,2.463,0,0,0,0,,,
5,2.463,0,0,0,0,,,
5.1,2.463,0,0,0,0,,,
5.2,2.463,0,0,0,0,,,
5.3,2.463,0,0,0,0,,,
5.4,2.463,0,0,0,0,,,
5.5,2.463,0,0,0,0,,,
5.6,2.463,0,0,0,0,,,
5.7,2.463,0,0,0,0,,,
5.8,2.473,0,0,0,0,,,
5.9,2.473,0,0,0,0,,,
6,2.473,0,0,0,0,,,
6.1,2.473,0,0,0,0,,,
6.2,2.473,0,0,0,0,,,
6.3,2.473,0,0,0,0,,,
6.4,2.473,0,0,0,0,,,
6.5,2.473,0,0,0,0,,,
6.6,2.473,0,0,0,0,,,
6.7,2.473,0,0,0,0,,,
6.8,2.473,0,0,0,0,,,
6.9,2.473,0,0,0,0,,,
7,2.473,0,0,0,0,,,
7.1,2.483,0,0,0,0,,,
7.2,2.473,0,0,0,0,,,
7.3,2.473,0,0,0,0,,,
7.4,2.473,0,0,0,0,,,
7.5,2.483,0,0,0,0,,,
7.6,2.473,0,0,0,0,,,
7.7,2.473,0,0,0,0,,,
7.8,2.473,0,0,0,0,,,
7.9,2.473,0,0,0,0,,,
8,2.473,0,0,0,0,,,
8.1,2.473,0,0,0,0,,,
8.2,2.473,0,0,0,0,,,
8.3,2.473,0,0,0,0,,,
8.4,2.473,0,0,0,0,,,
8.5,2.473,0,0,0,0,,,
8.6,2.473,0,0,0,0,,,
8.7,2.473,0,0,0,0,,,
8.8,2.473,0,0,0,0,,,
8.9,2.473,0,0,0,0,,,
9,2.473,0,0,0,0,,,
9.1,2.473,0,0,0,0,,,
9.2,2.473,0,0,0,0,,,
9.3,2.463,0,0,0,0,,,
9.4,2.454,0,0,0,0,,,
9.5,2.463,0,0,0,0,,,
9.6,2.454,0,0,0,0,,,
9.7,2.454,0,0,0,0,,,
9.8,2.463,0,0,0,0,,,
9.9,2.454,0,0,0,0,,,
10,2.463,0,0,0,0,,,
10.1,5,0,0,0,4.7,,,
10.2,5,0,0,0.47,4.8,,,
10.3,5,0.021,0.047,0.95,4.6,0.446808511,,
10.4,5,0.062,0.142,1.41,4.6,0.436619718,,
10.5,5,0.124,0.283,1.87,4.6,0.438162544,,
10.6,5,0.207,0.47,2.33,4.5,0.440425532,,
10.7,5,0.309,0.703,2.78,4.6,0.439544808,,
10.8,5,0.432,0.981,3.24,4.5,0.440366972,,
10.9,5,0.574,1.305,3.69,4.4,0.439846743,,
11,5,0.736,1.674,4.13,4.4,0.439665472,,
11.1,5,0.918,2.087,4.57,4.4,0.439865836,,
11.2,5,1.119,2.544,5.01,4.3,0.439858491,,
11.3,5,1.34,3.045,5.44,4.4,0.440065681,,
11.4,5,1.579,3.589,5.88,4.2,0.439955419,,
11.5,5,1.838,4.177,6.3,4.3,0.440028729,,
11.6,5,2.115,4.807,6.73,4.1,0.439983358,,
11.7,5,2.411,5.48,7.14,4.3,0.439963504,,
11.8,5,2.726,6.194,7.57,4.1,0.440103326,,
11.9,5,3.058,6.951,7.98,4.1,0.4399367,,
12,5,3.409,7.749,8.39,4.1,0.439927733,,
12.1,5,3.779,8.588,8.8,4,0.440032604,,
12.2,5,4.166,9.468,9.2,4.1,0.44000845,,
12.3,5,4.571,10.388,9.61,3.9,0.440026954,,
12.4,5,4.993,11.349,10,4,0.439950656,,
12.5,5,5.434,12.349,10.4,3.9,0.44003563,,
12.6,5,5.891,13.389,10.79,3.9,0.43998805,,
12.7,5,6.366,14.468,11.18,3.9,0.440005529,,
12.8,5,6.858,15.586,11.57,3.8,0.440010266,,
12.9,5,7.367,16.743,11.95,3.8,0.440004778,,
