Time(s),Input(v),Output(v),Output(m),Output(m/s),,
2.2,2.493,0,0,0,,
2.3,2.493,0,0,0,,
2.4,2.483,0,0,0,,
2.5,2.493,0,0,0,,
2.6,2.483,0,0,0,,
2.7,2.493,0,0,0,,
2.8,2.483,0,0,0,,
2.9,2.483,0,0,0,,
3,2.493,0,0,0,,
3.1,2.483,0,0,0,,
3.2,2.493,0,0,0,,
3.3,2.493,0,0,0,,
3.4,2.493,0,0,0,,
3.5,2.483,0,0,0,,
3.6,2.493,0,0,0,,
3.7,2.483,0,0,0,,
3.8,2.493,0,0,0,,
3.9,2.493,0,0,0,,
4,2.483,0,0,0,,
4.1,2.483,0,0,0,,
4.2,2.493,0,0,0,,
4.3,2.483,0,0,0,,
4.4,2.493,0,0,0,,
4.5,2.493,0,0,0,,
4.6,2.493,0,0,0,,
4.7,2.493,0,0,0,,
4.8,2.483,0,0,0,,
4.9,2.493,0,0,0,,
5,2.493,0,0,0,,
5.1,2.483,0,0,0,,
5.2,2.493,0,0,0,,
5.3,2.493,0,0,0,,
5.4,2.493,0,0,0,,
5.5,2.493,0,0,0,,
5.6,2.493,0,0,0,,
5.7,2.483,0,0,0,,
5.8,2.493,0,0,0,,
5.9,2.483,0,0,0,,
6,2.483,0,0,0,,
6.1,2.483,0,0,0,,
6.2,2.483,0,0,0,,
6.3,2.483,0,0,0,,
6.4,2.493,0,0,0,,
6.5,2.483,0,0,0,,
6.6,2.483,0,0,0,,
6.7,2.493,0,0,0,,
6.8,2.493,0,0,0,,
6.9,2.483,0,0,0,,
7,2.493,0,0,0,,
7.1,2.483,0,0,0,,
7.2,2.483,0,0,0,,
7.3,2.483,0,0,0,,
7.4,2.483,0,0,0,,
7.5,2.493,0,0,0,,
7.6,2.483,0,0,0,,
7.7,2.493,0,0,0,,
7.8,2.483,0,0,0,,
7.9,2.483,0,0,0,,
8,2.493,0,0,0,,
8.1,2.493,0,0,0,,
8.2,2.493,0,0,0,,
8.3,2.493,0,0,0,,
8.4,2.483,0,0,0,,
8.5,2.493,0,0,0,,
8.6,2.483,0,0,0,,
8.7,2.483,0,0,0,,
8.8,2.483,0,0,0,,
8.9,2.493,0,0,0,,
9,2.493,0,0,0,,
9.1,2.493,0,0,0,,
9.2,2.493,0,0,0,,
9.3,2.493,0,0,0,,
9.4,2.493,0,0,0,,
9.5,2.483,0,0,0,,
9.6,2.493,0,0,0,,
9.7,2.493,0,0,0,,
9.8,2.493,0,0,0,,
9.9,2.493,0,0,0,,
10,2.483,0,0,0,,
10.1,3.278,0,0,0,,
10.2,5,0,0,0.44,,
10.3,5,0.042,0.044,0.87,,
10.4,5,0.125,0.131,1.31,,
10.5,5,0.249,0.262,1.74,,
10.6,5,0.414,0.436,2.16,,
10.7,5,0.62,0.652,2.59,,
10.8,5,0.865,0.911,3.01,,
10.9,5,1.151,1.212,3.42,,
11,5,1.476,1.554,3.84,,
11.1,5,1.841,1.938,4.25,,
11.2,5,2.245,2.363,4.66,,
11.3,5,2.688,2.829,5.07,,
11.4,5,3.169,3.336,5.46,,
11.5,5,3.688,3.882,5.87,,
11.6,5,4.246,4.469,6.27,,
11.7,5,4.841,5.096,6.65,,
11.8,5,5.473,5.761,7.05,,
11.9,5,6.143,6.466,7.44,,
12,5,6.85,7.21,7.83,,
12.1,5,7.593,7.993,8.2,,
12.2,5,8.373,8.813,8.59,,
12.3,5,9.189,9.672,8.97,,
12.4,5,10,10.569,9.34,,
12.5,5,10,11.503,9.71,,
12.6,5,10,12.474,10.08,,
12.7,5,10,13.482,10.45,,
12.8,5,10,14.527,10.81,,
12.9,5,10,15.608,11.18,,
13,5,10,16.726,11.53,,
13.1,5,10,17.879,11.89,,
13.2,5,10,19.068,12.25,,
13.3,5,10,20.293,12.59,,
13.4,5,10,21.552,12.95,,
13.5,5,10,22.847,13.29,,
13.6,5,10,24.176,13.63,,
13.7,5,10,25.539,13.98,,
13.8,5,10,26.937,14.32,,
13.9,5,10,28.369,14.65,,
14,5,10,29.834,14.99,,
14.1,5,10,31.333,15.31,,
14.2,5,10,32.864,15.65,,
14.3,5,10,34.429,15.98,,
14.4,5,10,36.027,16.3,,
14.5,5,10,37.657,16.62,,
14.6,5,10,39.319,16.94,,
14.7,5,10,41.013,17.26,,
14.8,5,10,42.739,17.58,,
